,system_time_stamp,triggers,trigger_n,occ,device_time_stamp,left_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_y,left_pupil_diameter,trigger_indx,trial_id,change_indx,xL_zscore,xR_zscore,yL_zscore,yR_zscore
8062,6312881361,,2,,254139519356.0,-11.3876953125,-46.21318054199219,78.02375793457031,174.0571746826172,-1.0,12,3,,-0.4078869431957603,-0.5493373503505299,-4.861198808454067,0.136262190879905
8063,6312931345,,2,,254139569341.0,-8.06927490234375,-42.00370788574219,62.99078369140625,187.62435913085938,-1.0,12,3,0.0,-0.26431193688026505,-0.3716669828586656,-5.674166362662669,0.540013629281773
8064,6313006334,,2,,254139644332.0,22.02801513671875,-27.166824340820312,84.72175598144531,178.7030029296875,-1.0,12,3,0.0,1.0378794895623604,0.25455743219873145,-4.49897806609245,0.2745193100691188
8070,6325504860,,2,,254152143181.0,-39.59165954589844,-13.235183715820312,187.39547729492188,178.45237731933594,-1.0,27,6,15.0,-1.6281616047602707,0.8425740109341302,1.0535096018531747,0.26706083914865447
8071,6325529859,,2,,254152168180.0,-39.59165954589844,-20.056137084960938,187.39547729492188,179.653564453125,-1.0,27,6,0.0,-1.6281616047602707,0.554680160396641,1.0535096018531747,0.3028074625477332
8072,6325704837,,2,,254152343163.0,-30.454803466796875,-17.707260131835938,188.6715545654297,185.19505310058594,-1.0,27,6,0.0,-1.2328457595328692,0.6538198544947287,1.1225185285502761,0.4677189090483267
8073,6325754836,,2,,254152393163.0,-35.135223388671875,-14.8167724609375,194.05844116210938,187.3722686767578,-1.0,27,6,0.0,-1.4353491306505548,0.7758194607771761,1.4138357323493322,0.5325115654719106
8093,6334978749,,2,,254161617284.0,5.81805419921875,-11.188583374023438,165.3648223876953,184.9888458251953,-1.0,37,8,10.0,0.33653820174587534,0.9289554331524553,-0.1378852178170591,0.46158230168034164
8094,6335628683,,2,,254162267235.0,13.430023193359375,-26.231979370117188,151.90525817871094,189.75521850585938,-1.0,37,8,0.0,0.6658781771939032,0.2940146904009287,-0.8657643998536678,0.6034267523929446
8095,6335778655,,2,,254162417210.0,-41.0733642578125,-20.16656494140625,195.66275024414062,176.4126434326172,-1.0,37,8,0.0,-1.6922691430093932,0.5500193015579817,1.5005950927737455,0.2063595570321259
8096,6335978632,,2,,254162617192.0,19.78424072265625,-18.244949340820312,146.7974395751953,180.98109436035156,-1.0,37,8,0.0,0.9408001910251382,0.6311254585079002,-1.1419898979003738,0.34231397265740215
8113,6343602744,,2,,254170241495.0,53.162994384765625,-13.02362060546875,157.618896484375,180.69091796875,-1.0,47,10,10.0,2.3849676488835176,0.8515035131861699,-0.5567768047275394,0.33367849372318786
8114,6343627730,,2,,254170266482.0,40.1297607421875,-18.83673095703125,157.06884765625,187.33837890625,-1.0,47,10,0.0,1.821070863287153,0.6061479694461724,-0.5865228711587668,0.5315030258119805
8115,6343702731,,2,,254170341485.0,19.229949951171875,-5.918670654296875,143.9763946533203,179.22976684570312,-1.0,47,10,0.0,0.9168182082802989,1.1513840853908037,-1.2945490623978584,0.2901954947337317
8116,6343827717,,2,,254170466474.0,32.5908203125,-12.373275756835938,148.76632690429688,180.77101135253906,-1.0,47,10,0.0,1.4948905467450548,0.8789527966686209,-1.0355145264561725,0.3360620257695512
8117,6344127672,,2,,254170766437.0,-46.60780334472656,-54.25529479980469,181.28273010253906,196.3135986328125,-1.0,47,10,0.0,-1.931722566217755,-0.8887730736057066,0.7229386147614674,0.7986002918952124
8118,6344202673,,2,,254170841440.0,-14.151580810546875,-41.24345397949219,162.55467224121094,186.2098846435547,-1.0,47,10,0.0,-0.5274694037612981,-0.33957873762205354,-0.2898552042344312,0.49791969954928483
8119,6344252654,,2,,254170891422.0,-6.7989349365234375,-50.82402038574219,151.41815185546875,172.14820861816406,-1.0,47,10,0.0,-0.20934932031207396,-0.7439483328613378,-0.892106601326262,0.07945248232735687
8120,6344702609,,2,,254171341388.0,-18.627639770507812,-39.642974853515625,184.83114624023438,190.17173767089844,-1.0,47,10,0.0,-0.7211308794073754,-0.27202687597660147,0.9148332553106103,0.6158221180377491
8121,6344752596,,2,,254171391376.0,-12.78826904296875,-52.840667724609375,154.7424774169922,192.028564453125,-1.0,47,10,0.0,-0.4684842628065986,-0.8290655204658328,-0.7123305452092374,0.6710801921832819
8146,6347927228,,2,,254174566089.0,49.738922119140625,-13.621490478515625,153.6154022216797,175.80447387695312,-1.0,52,11,5.0,2.2368215021031963,0.8262690553975351,-0.7732815952224471,0.18826078835773052
8147,6348002209,,2,,254174641072.0,33.995574951171875,3.17840576171875,142.76719665527344,172.32583618164062,-1.0,52,11,0.0,1.5556687578185393,1.535346885941438,-1.3599412278552776,0.08473857425948013
8149,6348127193,,2,,254174766059.0,14.636505126953125,-16.852432250976562,164.97335815429688,173.3668212890625,-1.0,52,11,0.0,0.7180779077359105,0.689899809429007,-0.1590551949112984,0.11571767947323437
8150,6348177199,,2,,254174816066.0,34.541290283203125,-6.2354736328125,170.2863006591797,189.602294921875,-1.0,52,11,0.0,1.579279715008608,1.1380126951450882,0.12826318959332444,0.5988758363768172
8152,6348377174,,2,,254175016045.0,-24.313766479492188,-7.68707275390625,159.413330078125,185.11663818359375,-1.0,52,11,0.0,-0.9671472297331309,1.0767446527187599,-0.4597357091795938,0.4653853271877321
8153,6348427169,,2,,254175066042.0,-48.05311584472656,1.606781005859375,197.73362731933594,190.89990234375,-1.0,52,11,0.0,-1.9942555565164717,1.4690128886132314,1.6125859632200086,0.6374918709020094
8154,6348752132,,2,,254175391012.0,-14.2386474609375,-13.664321899414062,188.80516052246094,178.24746704101562,-1.0,52,11,0.0,-0.5312364354615143,0.8244612578626289,1.1297437992358017,0.26096282965149076
8155,6348802125,,2,,254175441007.0,-13.014968872070312,-18.681564331054688,159.1466522216797,173.67491149902344,-1.0,52,11,0.0,-0.47829267324650604,0.6126971298068643,-0.4741573692722081,0.12488626311738013
8156,6349002103,,2,,254175640989.0,16.324920654296875,-13.77490234375,150.69996643066406,184.512451171875,-1.0,52,11,0.0,0.791129010380902,0.8197939587049995,-0.9309453193888058,0.4474050766813879
8157,6349027099,,2,,254175665986.0,40.102783203125,-17.131332397460938,148.24594116210938,175.1227569580078,-1.0,52,11,0.0,1.8199036512216111,0.6781281944154633,-1.0636564441650767,0.1679732933614698
8186,6352001754,,2,,254178640711.0,-32.1683349609375,-47.56608581542969,159.46038818359375,178.10763549804688,-1.0,57,12,5.0,-1.3069835313293778,-0.6064397944669994,-0.4571908559596119,0.2568015250843593
8187,6352051750,,2,,254178690709.0,-18.87872314453125,-47.256622314453125,144.26922607421875,179.27076721191406,-1.0,57,12,0.0,-0.7319942699834457,-0.5933781835637453,-1.2787130448412203,0.29141564154428196
8188,6352076745,,2,,254178715704.0,11.600311279296875,-49.02484130859375,144.70851135253906,179.64816284179688,-1.0,57,12,0.0,0.5867137353368538,-0.6680098878530252,-1.2549569555578037,0.30264671376807756
8189,6352101740,,2,,254178740700.0,-0.222381591796875,-38.65338134765625,149.36663818359375,181.51693725585938,-1.0,57,12,0.0,0.0751922902425838,-0.23025883132793337,-1.0030503191343418,0.358260342417764
8190,6352126736,,2,,254178765697.0,-18.542953491210938,-42.29405212402344,150.45651245117188,186.37075805664062,-1.0,57,12,0.0,-0.7174668370070599,-0.38392162179496647,-0.9441110564591074,0.5027071978089168
8192,6352201729,,2,,254178840691.0,10.8883056640625,-43.94944763183594,146.1658172607422,180.7291259765625,-1.0,57,12,0.0,0.5559080512857694,-0.4537913542377565,-1.17614737331799,0.3348155415883229
8193,6352276719,,2,,254178915683.0,-10.393447875976562,-14.832046508789062,189.13043212890625,184.9087677001953,-1.0,57,12,0.0,-0.3648697650404174,0.7751747848482694,1.1473341481626347,0.4591992237265763
8194,6352301715,,2,,254178940680.0,29.979522705078125,-13.152984619140625,171.93203735351562,185.19927978515625,-1.0,57,12,0.0,1.3819099643782837,0.8460434107633215,0.2172629120450564,0.46784469269794426
8195,6352326713,,2,,254178965679.0,46.813323974609375,-15.10498046875,168.98915100097656,185.29037475585938,-1.0,57,12,0.0,2.110242371022606,0.7636549863064566,0.05811469016704162,0.47055562550739155
8196,6352351713,,2,,254178990679.0,-12.027313232421875,-17.188369750976562,191.00521850585938,179.193603515625,-1.0,57,12,0.0,-0.43556069622934984,0.675720803184441,1.2487206383462564,0.2891192952767149
8197,6352476698,,2,,254179115667.0,4.6519775390625,-16.749160766601562,167.48834228515625,181.3465576171875,-1.0,57,12,0.0,0.28608664855090143,0.6942586173079687,-0.023047478496302686,0.35318994446964197
8198,6352526691,,2,,254179165661.0,46.495849609375,-13.650863647460938,156.40243530273438,185.65576171875,-1.0,57,12,0.0,2.096506503242252,0.8250292939957915,-0.6225617555717003,0.4814293268566419
8200,6352576686,,2,,254179215657.0,46.126678466796875,-35.300994873046875,148.43959045410156,178.8063201904297,-1.0,57,12,0.0,2.080533919128156,-0.08876373549110479,-1.053184092603861,0.27759397104948186
8202,6352676672,,2,,254179315645.0,25.245361328125,-18.707168579101562,146.7307586669922,182.0081787109375,-1.0,57,12,0.0,1.1770814117589927,0.611616444283682,-1.1455959318080653,0.37287939951447185
8205,6352751665,,2,,254179390640.0,-8.233428955078125,-25.9013671875,149.7217559814453,175.38204956054688,-1.0,57,12,0.0,-0.27141423744649806,0.30796892951343824,-0.9838459193325787,0.17568968887753977
8206,6352776660,,2,,254179415636.0,-0.87139892578125,-23.712753295898438,166.23814392089844,178.26669311523438,-1.0,57,12,0.0,0.04711186151195019,0.4003443565972328,-0.09065690095829104,0.2615349863248414
8207,6352951642,,2,,254179590622.0,28.985870361328125,-37.64146423339844,164.40884399414062,173.32794189453125,-1.0,57,12,0.0,1.338918533547916,-0.18754856801394004,-0.18958353139847356,0.11456065153379189
8208,6353001623,,2,,254179640605.0,45.37689208984375,-49.18632507324219,125.05006408691406,171.2032928466797,-1.0,57,12,0.0,2.0480936100350573,-0.674825677419079,-2.3180652623082976,0.051332344109964456
8210,6353076615,,2,,254179715599.0,53.7047119140625,-51.400238037109375,153.84893798828125,175.80459594726562,-1.0,57,12,0.0,2.4084056368647784,-0.7682689093881157,-0.7606522247516877,0.18826442109851368
8211,6353126609,,2,,254179765594.0,-19.434951782226562,-45.43144226074219,157.26402282714844,171.0504608154297,-1.0,57,12,0.0,-0.7560600965814094,-0.5163423082029281,-0.57596800165916,0.04678415264942441
8271,6356851168,,2,,254183490247.0,-53.06758117675781,-46.624542236328125,187.95468139648438,173.63343811035156,-1.0,62,13,5.0,-2.2112117593868965,-0.5666998062620149,1.0837507759147487,0.12365203943629509
8272,6356876176,,2,,254183515255.0,-53.698028564453125,-46.75798034667969,182.02789306640625,180.3250274658203,-1.0,62,13,0.0,-2.2384887395407405,-0.5723318652013648,0.763236249974766,0.3227898073182069
8273,6356901162,,2,,254183540242.0,-37.60343933105469,-54.3084716796875,166.44769287109375,179.85968017578125,-1.0,62,13,0.0,-1.5421391318303428,-0.8910175247667854,-0.07932471247903987,0.30894134536013085
8274,6356976165,,2,,254183615247.0,-62.48759460449219,-47.184600830078125,178.48817443847656,176.1739044189453,-1.0,62,13,0.0,-2.6187787099877493,-0.5903383530098595,0.5718119616744524,0.1992548242454237
8275,6357001150,,2,,254183640233.0,-51.55183410644531,-46.32582092285156,181.43531799316406,174.2125244140625,-1.0,62,13,0.0,-2.1456313421116295,-0.5540915938142557,0.7311904086005784,0.1408853076190981
8276,6357026159,,2,,254183665242.0,-51.55183410644531,-15.527664184570312,181.43531799316406,172.07460021972656,-1.0,62,13,0.0,-2.1456313421116295,0.7458146587273905,0.7311904086005784,0.07726193963509996
8277,6357051144,,2,,254183690228.0,41.40594482421875,-11.648025512695312,173.768310546875,178.4232177734375,-1.0,62,13,0.0,1.8762863317903569,0.9095636327334927,0.3165666494636863,0.2661930681940726
8279,6357226136,,2,,254183865224.0,42.5872802734375,-16.903472900390625,156.60704040527344,178.97933959960938,-1.0,62,13,0.0,1.9273980728052074,0.6877455227335094,-0.6114969252128364,0.2827429270170401
8280,6357251122,,2,,254183890211.0,49.5560302734375,-10.459014892578125,181.94625854492188,194.410400390625,-1.0,62,13,0.0,2.2289084908941548,0.9597485302441808,0.7588215402708417,0.7419622303446695
8282,6357376106,,2,,254184015198.0,32.342529296875,-13.569656372070312,188.62965393066406,179.07493591308594,-1.0,62,13,0.0,1.4841479705400218,0.8284568317516772,1.1202525859620562,0.28558781714286713
8283,6357401103,,2,,254184040196.0,28.0892333984375,-11.365478515625,184.8154296875,182.07977294921875,-1.0,62,13,0.0,1.300124576876324,0.9214891713704216,0.9139833205451819,0.3750100019838063
8285,6357451097,,2,,254184090191.0,-46.4881591796875,-13.188980102539062,175.21141052246094,177.3029022216797,-1.0,62,13,0.0,-1.926546033522102,0.8445241395182755,0.39460798969707883,0.23285313556384996
8286,6357501101,,2,,254184140197.0,-11.054824829101562,-14.636749267578125,199.2989959716797,172.41989135742188,-1.0,62,13,0.0,-0.3934849459051511,0.7834177490980967,1.6972394658566807,0.08753760103291951
8287,6357526120,,2,,254184165217.0,52.326568603515625,-21.321258544921875,168.50497436523438,182.1903076171875,-1.0,62,13,0.0,2.348778793349159,0.5012828317836685,0.031930923136158425,0.37829944876297483
8288,6357551084,,2,,254184190182.0,52.436798095703125,-19.05694580078125,168.3734588623047,174.9474334716797,-1.0,62,13,0.0,2.3535479901599476,0.5968533011085283,0.024818702026228635,0.16275576941162903
8289,6357601091,,2,,254184240190.0,51.418914794921875,-18.529464721679688,145.1926727294922,180.37391662597656,-1.0,62,13,0.0,2.309508181071616,0.6191168397562571,-1.2287740137063043,0.32424472000187005
8290,6357651073,,2,,254184290173.0,26.6087646484375,-14.984588623046875,145.30186462402344,170.29608154296875,-1.0,62,13,0.0,1.2360705138406116,0.7687363979738633,-1.2228690300350364,0.024334268701976434
8291,6357676080,,2,,254184315181.0,6.987884521484375,-15.625350952148438,160.77476501464844,169.93450927734375,-1.0,62,13,0.0,0.3871521611445388,0.7416915665227343,-0.3861107290088935,0.0135740905022004
8292,6357701077,,2,,254184340178.0,50.505035400390625,-7.654541015625,166.33628845214844,176.8056182861328,-1.0,62,13,0.0,2.2699682121635636,1.0781177287231845,-0.08534934716097484,0.21805425779837473
8293,6357776068,,2,,254184415171.0,-5.862152099609375,-9.585403442382812,145.3616943359375,174.02676391601562,-1.0,62,13,0.0,-0.16881840948638654,0.9966212884436781,-1.2196335016707212,0.13535718433229554
8294,6357801065,,2,,254184440169.0,-12.272720336914062,-16.313995361328125,181.96640014648438,174.76812744140625,-1.0,62,13,0.0,-0.4461784969364261,0.7126257629787888,0.7599107770576043,0.15741972729373707
8348,6361300652,,2,,254187939846.0,37.871826171875,-3.676544189453125,144.83236694335938,186.29205322265625,-1.0,67,14,5.0,1.7233789104530852,1.2460181323374115,-1.2482589744985972,0.5003649881889621
8349,6361350648,,2,,254187989843.0,36.72259521484375,-9.064910888671875,145.0215301513672,184.87158203125,-1.0,67,14,0.0,1.673656204611255,1.0185898604825765,-1.2380292256762513,0.4580926000655004
