"","left","right","left_selected","right_selected","right_rew_dbl","left_rew_dbl","stim1","stim2","trigger_integer","block","trial_n","trial_id","right_rew","left_rew","typeOfChoice","correct"
"72","y_4.png","p_4.png","y_4_d.png","p_4_d.png",51,67,3,2,32,4,72,612,"5 1","6 7",4,1
"73","b_4.png","p_4.png","b_4_d.png","p_4_d.png",64,50,1,2,12,4,73,613,"6 4","5 0",1,NA
"74","g_4.png","b_4.png","g_4_d.png","b_4_d.png",65,42,4,1,41,4,74,614,"6 5","4 2",3,1
"75","y_4.png","p_4.png","y_4_d.png","p_4_d.png",49,12,3,2,32,4,75,615,"4 9","1 2",4,1
"76","p_4.png","b_4.png","p_4_d.png","b_4_d.png",27,51,2,1,21,4,76,616,"2 7","5 1",1,NA
"77","p_4.png","g_4.png","p_4_d.png","g_4_d.png",35,56,2,4,24,4,77,617,"3 5","5 6",5,0
"78","p_4.png","b_4.png","p_4_d.png","b_4_d.png",55,54,2,1,21,4,78,618,"5 5","5 4",1,NA
"79","b_4.png","p_4.png","b_4_d.png","p_4_d.png",62,74,1,2,12,4,79,619,"6 2","7 4",1,NA
"80","p_4.png","b_4.png","p_4_d.png","b_4_d.png",63,51,2,1,21,4,80,620,"6 3","5 1",1,NA
"81","b_4.png","g_4.png","b_4_d.png","g_4_d.png",38,59,1,4,14,4,81,621,"3 8","5 9",3,0
"82","b_4.png","y_4.png","b_4_d.png","y_4_d.png",51,71,1,3,13,4,82,622,"5 1","7 1",2,0
"83","p_4.png","b_4.png","p_4_d.png","b_4_d.png",42,57,2,1,21,4,83,623,"4 2","5 7",1,NA
"84","b_4.png","p_4.png","b_4_d.png","p_4_d.png",62,66,1,2,12,4,84,624,"6 2","6 6",1,NA
"85","b_4.png","y_4.png","b_4_d.png","y_4_d.png",23,77,1,3,13,4,85,625,"2 3","7 7",2,0
"86","g_4.png","b_4.png","g_4_d.png","b_4_d.png",65,40,4,1,41,4,86,626,"6 5","4 0",3,1
"87","g_4.png","p_4.png","g_4_d.png","p_4_d.png",61,39,4,2,42,4,87,627,"6 1","3 9",5,1
"88","p_4.png","b_4.png","p_4_d.png","b_4_d.png",87,53,2,1,21,4,88,628,"8 7","5 3",1,NA
"89","g_4.png","b_4.png","g_4_d.png","b_4_d.png",54,31,4,1,41,4,89,629,"5 4","3 1",3,1
"90","g_4.png","p_4.png","g_4_d.png","p_4_d.png",62,41,4,2,42,4,90,630,"6 2","4 1",5,1
"91","b_4.png","y_4.png","b_4_d.png","y_4_d.png",32,81,1,3,13,4,91,631,"3 2","8 1",2,0
