"","ID","perc"
"1","sub-003",50.4792332268371
"2","sub-037",51.9444444444444
"3","sub-009",54.8387096774194
"4","sub-007",55.8333333333333
"5","sub-013",56.9444444444444
"6","sub-019",57.3816155988858
"7","sub-025",59.7222222222222
"8","sub-033",59.7222222222222
"9","sub-029",63.6923076923077
"10","sub-004",63.8888888888889
"11","sub-031",64.1666666666667
"12","sub-036",64.3454038997214
"13","sub-027",65.4494382022472
"14","sub-014",65.8333333333333
"15","sub-024",66.4772727272727
"16","sub-028",67.0391061452514
"17","sub-034",68.0672268907563
"18","sub-015",68.3333333333333
"19","sub-017",69.1666666666667
"20","sub-035",70.1949860724234
"21","sub-030",71.0306406685237
"22","sub-022",72.1448467966574
"23","sub-026",72.2222222222222
"24","sub-008",72.7777777777778
"25","sub-010",74.7222222222222
"26","sub-021",76.6666666666667
"27","sub-032",76.6666666666667
"28","sub-005",76.8156424581006
"29","sub-006",78.8888888888889
"30","sub-023",80.7799442896936
"31","sub-018",84.8137535816619
